Кампания;Группа объявлений;Ключевая фраза;Тип соответствия;Регион;Реком. ставка CPC, ₽;Посадочная
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""химчистка салона цена""";фразовое;Санкт-Петербург;65;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""сколько стоит химчистка салона""";фразовое;Санкт-Петербург;35;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""сделать химчистку салона автомобиля""";фразовое;Санкт-Петербург;79;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""химчистка салона автомобиля санкт петербург""";фразовое;Санкт-Петербург;85;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""сколько стоит химчистка салона автомобиля""";фразовое;Санкт-Петербург;29;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""химчистка салона стоимость""";фразовое;Санкт-Петербург;54;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""химчистка авто цена""";фразовое;Санкт-Петербург;49;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""химчистка салона санкт петербург""";фразовое;Санкт-Петербург;72;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""сколько стоит химчистка салона спб""";фразовое;Санкт-Петербург;30;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""полная химчистка салона автомобиля цены""";фразовое;Санкт-Петербург;82;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""сколько стоит химчистка салона автомобиля в спб""";фразовое;Санкт-Петербург;25;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""химчистка салона рядом""";фразовое;Санкт-Петербург;105;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""полная химчистка салона цена""";фразовое;Санкт-Петербург;81;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""полная химчистка салона спб""";фразовое;Санкт-Петербург;83;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""химчистка автомобиля спб полная салона""";фразовое;Санкт-Петербург;87;detailing-salona.html
Космос Детейлинг — Поиск СПб;Химчистка и кожа;"""полная химчистка салона цена спб""";фразовое;Санкт-Петербург;85;detailing-salona.html
Космос Детейлинг — Поиск СПб;Предпродажная подготовка;"""предпродажная подготовка автомобиля""";фразовое;Санкт-Петербург;42;komfort.html
Космос Детейлинг — Поиск СПб;Предпродажная подготовка;"""предпродажная подготовка авто спб""";фразовое;Санкт-Петербург;32;komfort.html
Космос Детейлинг — Поиск СПб;Предпродажная подготовка;"""предпродажная подготовка авто""";фразовое;Санкт-Петербург;170;komfort.html
Космос Детейлинг — Поиск СПб;Предпродажная подготовка;"""предпродажная химчистка салона""";фразовое;Санкт-Петербург;61;komfort.html
